"locusName_Version1"	"locusName_Version2"	"locusName_Version3"	"Arabidopsis_homolog"	"Arabidopsis_homolog_symbol"	"Arabidopsis_homolog_defline"	"Rice_homolog"	"Rice_homolog_defline"
"Sb01g002690"	"SORBI_3001G028500"	"Sobic.001G028500"	"AT5G15330.1"	"ATSPX4,SPX4"	"SPX domain gene 4"	"LOC_Os03g61200.1"	"expressed protein"
"Sb01g002710"	"SORBI_3001G028700"	"Sobic.001G028700"	"AT5G01470.2"	""	"S-adenosyl-L-methionine-dependent methyltransferases superfamily protein"	"LOC_Os03g61140.1"	"expressed protein"
"Sb01g002720"	"SORBI_3001G028800"	"Sobic.001G028800"	"AT1G19530.1"	""	""	"LOC_Os03g61150.2"	"expressed protein"
"Sb01g002740"	"SORBI_3001G029100"	"Sobic.001G029100"	"AT5G51110.2"	""	"Transcriptional coactivator/pterin dehydratase"	"ChrSy.fgenesh.mRNA.86"	"expressed protein"
"Sb01g002760"	"SORBI_3001G029300"	"Sobic.001G029300"	"AT2G29690.1"	"ASA2,ATHANSYNAB"	"anthranilate synthase 2"	"LOC_Os03g61120.1"	"anthranilate synthase component I-1, chloroplast precursor, putative, expressed"
"Sb01g002760"	"SORBI_3001G029300"	"Sobic.001G029300"	"AT5G05730.1"	"AMT1,ASA1,JDL1,TRP5,WEI2"	"anthranilate synthase alpha subunit 1"	"LOC_Os03g61120.1"	"anthranilate synthase component I-1, chloroplast precursor, putative, expressed"
"Sb01g002780"	"SORBI_3001G029600"	"Sobic.001G029600"	"AT3G47070.1"	""	""	"LOC_Os03g61090.1"	"expressed protein"
"Sb01g002790"	"SORBI_3001G029800"	"Sobic.001G029800"	"AT3G03130.1"	""	""	"LOC_Os02g47130.1"	"expressed protein"
"Sb01g002820"	"SORBI_3001G030100"	"Sobic.001G030100"	"AT5G58960.1"	"GIL1"	"Plant protein of unknown function (DUF641)"	"LOC_Os03g61040.1"	"GIL1, putative, expressed"
"Sb01g002850"	"SORBI_3001G030400"	"Sobic.001G030400"	"AT5G59010.1"	""	"Protein kinase protein with tetratricopeptide repeat domain"	"LOC_Os03g61010.1"	"protein kinase family protein, putative, expressed"
"Sb01g002860"	"SORBI_3001G030500"	"Sobic.001G030500"	"AT3G11340.1"	""	"UDP-Glycosyltransferase superfamily protein"	"LOC_Os03g60960.1"	"cytokinin-N-glucosyltransferase 1, putative, expressed"
"Sb01g002870"	"SORBI_3001G030600"	"Sobic.001G030600"	"AT3G55700.1"	""	"UDP-Glycosyltransferase superfamily protein"	"LOC_Os03g60960.1"	"cytokinin-N-glucosyltransferase 1, putative, expressed"
"Sb01g002930"	"SORBI_3001G031300"	"Sobic.001G031300"	"AT1G74850.1"	"PTAC2"	"plastid transcriptionally active 2"	"LOC_Os03g60910.1"	"PPR repeat domain containing protein, putative, expressed"
"Sb01g002940"	"SORBI_3001G031400"	"Sobic.001G031400"	"AT4G09550.1"	"ATGIP1,GIP1"	"AtGCP3 interacting protein 1"	"LOC_Os03g60900.1"	"expressed protein"
"Sb01g002960"	"SORBI_3001G031700"	"Sobic.001G031700"	"AT5G62890.1"	""	"Xanthine/uracil permease family protein"	"LOC_Os03g60880.2"	"nucleobase-ascorbate transporter, putative, expressed"
"Sb01g002970"	"SORBI_3001G031800"	"Sobic.001G031800"	"AT5G55140.1"	""	"ribosomal protein L30 family protein"	"LOC_Os08g01859.1"	"ribosomal protein L30 containing protein, expressed"
"Sb01g002980"	"SORBI_3001G031900"	"Sobic.001G031900"	"AT1G07410.1"	"ATRAB-A2B,ATRABA2B,RAB-A2B,RABA2b"	"RAB GTPase homolog A2B"	"LOC_Os03g60870.1"	"ras-related protein, putative, expressed"
"Sb01g002990"	"SORBI_3001G032000"	"Sobic.001G032000"	"AT2G37900.1"	""	"Major facilitator superfamily protein"	"LOC_Os03g60850.1"	"peptide transporter PTR2, putative, expressed"
"Sb01g003000"	"SORBI_3001G032100"	"Sobic.001G032100"	""	""	""	"LOC_Os03g60840.1"	"BBTI13 - Bowman-Birk type bran trypsin inhibitor precursor, expressed"
"Sb01g003020"	"SORBI_3001G032300"	"Sobic.001G032300"	"AT2G37710.1"	"RLK"	"receptor lectin kinase"	"LOC_Os03g60810.1"	"lectin-like receptor kinase, putative, expressed"
"Sb01g003060"	"SORBI_3001G032700"	"Sobic.001G032700"	"AT5G59610.1"	""	"Chaperone DnaJ-domain superfamily protein"	"LOC_Os03g60790.1"	"heat shock protein DnaJ, putative, expressed"
"Sb01g003080"	"SORBI_3001G032900"	"Sobic.001G032900"	"AT5G02220.1"	""	""	"LOC_Os03g60760.1"	"expressed protein"
"Sb01g003090"	"SORBI_3001G033000"	"Sobic.001G033000"	"AT5G13830.1"	""	"FtsJ-like methyltransferase family protein"	"LOC_Os03g60750.1"	"ribosomal RNA large subunit methyltransferase J, putative, expressed"
"Sb01g003100"	"SORBI_3001G033100"	"Sobic.001G033100"	"AT2G37660.1"	""	"NAD(P)-binding Rossmann-fold superfamily protein"	"LOC_Os03g60740.1"	"expressed protein"
"Sb01g003120"	"SORBI_3001G033300"	"Sobic.001G033300"	"AT2G39700.1"	"ATEXP4,ATEXPA4,ATHEXP ALPHA 1.6,EXPA4"	"expansin A4"	"LOC_Os03g60720.1"	"expansin precursor, putative, expressed"
"Sb01g003130"	"SORBI_3001G033400"	"Sobic.001G033400"	"AT2G28930.3"	"APK1B,PK1B"	"protein kinase 1B"	"LOC_Os03g60710.1"	"protein kinase domain containing protein, expressed"
"Sb01g003160"	"SORBI_3001G033701"	"Sobic.001G033701"	""	""	""	"LOC_Os03g60660.1"	"expressed protein"
"Sb01g003180"	"SORBI_3001G034000"	"Sobic.001G034000"	"AT5G07900.1"	""	"Mitochondrial transcription termination factor family protein"	"LOC_Os11g09990.1"	"mTERF family protein, expressed"
"Sb01g003190"	"SORBI_3001G034100"	"Sobic.001G034100"	"AT2G28890.1"	"PLL4"	"poltergeist like 4"	"LOC_Os03g60650.1"	"protein phosphatase 2C, putative, expressed"
"Sb01g003210"	"SORBI_3001G034300"	"Sobic.001G034300"	"AT3G55370.2"	"OBP3"	"OBF-binding protein 3"	"LOC_Os03g60630.1"	"dof zinc finger domain containing protein, putative, expressed"
"Sb01g003260"	"SORBI_3001G034900"	"Sobic.001G034900"	"AT5G59880.1"	"ADF3"	"actin depolymerizing factor 3"	"LOC_Os03g60580.1"	"actin-depolymerizing factor, putative, expressed"
"Sb01g003270"	"SORBI_3001G035000"	"Sobic.001G035000"	"AT5G59820.1"	"RHL41,ZAT12"	"C2H2-type zinc finger family protein"	"LOC_Os03g60570.1"	"ZOS3-22 - C2H2 zinc finger protein, expressed"
"Sb01g003280"	"SORBI_3001G035100"	"Sobic.001G035100"	"AT2G28200.1"	""	"C2H2-type zinc finger family protein"	"LOC_Os03g60560.1"	"ZOS3-21 - C2H2 zinc finger protein, expressed"
"Sb01g003320"	"SORBI_3001G035500"	"Sobic.001G035500"	"AT3G53540.1"	""	""	"LOC_Os03g60520.1"	"expressed protein"
"Sb01g003330"	"SORBI_3001G035600"	"Sobic.001G035600"	"AT3G55120.1"	"A11,CFI,TT5"	"Chalcone-flavanone isomerase family protein"	"LOC_Os03g60509.2"	"expressed protein"
"Sb01g003340"	"SORBI_3001G035800"	"Sobic.001G035800"	"AT2G37390.2"	""	"Chloroplast-targeted copper chaperone protein"	"LOC_Os03g60480.1"	"heavy metal-associated domain containing protein, expressed"
"Sb01g003370"	"SORBI_3001G036200"	"Sobic.001G036200"	""	""	""	"LOC_Os03g60470.1"	"glycine-rich protein A3, putative, expressed"
"Sb01g003380"	"SORBI_3001G036300"	"Sobic.001G036300"	"AT5G13520.1"	""	"peptidase M1 family protein"	"LOC_Os03g60460.1"	"aminopeptidase, putative, expressed"
"Sb01g003400"	"SORBI_3001G036800"	"Sobic.001G036800"	"AT2G28550.3"	"RAP2.7,TOE1"	"related to AP2.7"	"LOC_Os03g60430.2"	"AP2 domain containing protein, expressed"
"Sb01g003410"	"SORBI_3001G036900"	"Sobic.001G036900"	"AT5G02960.1"	""	"Ribosomal protein S12/S23 family protein"	"LOC_Os03g60400.1"	"40S ribosomal protein S23, putative, expressed"
"Sb01g003440"	"SORBI_3001G037400"	"Sobic.001G037400"	"AT1G67510.1"	""	"Leucine-rich repeat protein kinase family protein"	"LOC_Os12g13300.1"	"expressed protein"
"Sb01g003470"	"SORBI_3001G037800"	"Sobic.001G037800"	"AT5G58490.1"	""	"NAD(P)-binding Rossmann-fold superfamily protein"	"LOC_Os03g60380.1"	"cinnamoyl CoA reductase, putative, expressed"
"Sb01g003510"	"SORBI_3001G038200"	"Sobic.001G038200"	"AT2G40320.1"	"TBL33"	"TRICHOME BIREFRINGENCE-LIKE 33"	"LOC_Os03g60350.1"	"leaf senescence related protein, putative, expressed"
"Sb01g003520"	"SORBI_3001G038300"	"Sobic.001G038300"	"AT2G40320.1"	"TBL33"	"TRICHOME BIREFRINGENCE-LIKE 33"	"LOC_Os03g60340.1"	"leaf senescence related protein, putative, expressed"
"Sb01g003540"	"SORBI_3001G038500"	"Sobic.001G038500"	"AT3G11900.1"	"ANT1"	"aromatic and neutral transporter 1"	"LOC_Os03g60260.1"	"ANT1, putative, expressed"
"Sb01g003560"	"SORBI_3001G038700"	"Sobic.001G038700"	"AT2G38480.1"	""	"Uncharacterised protein family (UPF0497)"	"LOC_Os03g60250.1"	"membrane associated DUF588 domain containing protein, putative, expressed"
"Sb01g003570"	"SORBI_3001G038800"	"Sobic.001G038800"	"AT2G38440.1"	"ATSCAR2,DIS3,ITB1,SCAR2,WAVE4"	"SCAR homolog 2"	"LOC_Os03g60240.1"	"SCAR-like protein 1, putative, expressed"
"Sb01g003580"	"SORBI_3001G038900"	"Sobic.001G038900"	"AT5G01750.2"	""	"Protein of unknown function (DUF567)"	"LOC_Os03g60220.1"	"DUF567 domain containing protein, putative, expressed"
"Sb01g003600"	"SORBI_3001G039100"	"Sobic.001G039100"	"AT3G14160.1"	""	"2-oxoglutarate-dependent dioxygenase family protein"	"LOC_Os03g60190.1"	"oxidoreductase, 2OG-Fe oxygenase family protein, putative, expressed"
"Sb01g003620"	"SORBI_3001G039300"	"Sobic.001G039300"	"AT5G58370.2"	""	"P-loop containing nucleoside triphosphate hydrolases superfamily protein"	"LOC_Os03g60180.1"	"GTPase of unknown function domain containing protein, putative, expressed"
"Sb01g003660"	"SORBI_3001G039700"	"Sobic.001G039700"	"AT2G38560.1"	"TFIIS"	"transcript elongation factor IIS"	"LOC_Os03g60130.2"	"transcription elongation factor protein, putative, expressed"
"Sb01g003670"	"SORBI_3001G039800"	"Sobic.001G039800"	"AT4G27950.1"	"CRF4"	"cytokinin response factor 4"	"LOC_Os03g60120.1"	"AP2 domain containing protein, expressed"
"Sb01g003680"	"SORBI_3001G039900"	"Sobic.001G039900"	"AT2G38610.1"	""	"RNA-binding KH domain-containing protein"	"LOC_Os03g60110.1"	"KH domain containing protein, putative, expressed"
"Sb01g003700"	"SORBI_3001G040100"	"Sobic.001G040100"	"AT2G44160.1"	"MTHFR2"	"methylenetetrahydrofolate reductase 2"	"LOC_Os03g60090.1"	"methylenetetrahydrofolate reductase, putative, expressed"
"Sb01g003710"	"SORBI_3001G040200"	"Sobic.001G040200"	"AT5G08790.1"	"anac081,ATAF2"	"NAC (No Apical Meristem) domain transcriptional regulator superfamily protein"	"LOC_Os03g60080.1"	"NAC domain-containing protein 67, putative, expressed"
"Sb01g003720"	"SORBI_3001G040300"	"Sobic.001G040300"	"AT1G43580.1"	""	"Sphingomyelin synthetase family protein"	"LOC_Os04g34620.1"	"expressed protein"
"Sb01g003740"	"SORBI_3001G040500"	"Sobic.001G040500"	"AT1G55530.1"	""	"RING/U-box superfamily protein"	"LOC_Os03g59760.1"	"RING finger protein 126, putative, expressed"
"Sb01g003750"	"SORBI_3001G040600"	"Sobic.001G040600"	"AT3G10690.1"	"GYRA"	"DNA GYRASE A"	"LOC_Os02g47150.1"	"DNA topoisomerase 2, putative, expressed"
"Sb01g003790"	"SORBI_3001G041100"	"Sobic.001G041100"	"AT5G12190.1"	""	"RNA-binding (RRM/RBD/RNP motifs) family protein"	"LOC_Os03g59710.1"	"RNA recognition motif containing protein, putative, expressed"
"Sb01g003810"	"SORBI_3001G041300"	"Sobic.001G041300"	"AT2G21990.1"	""	"Protein of unknown function, DUF617"	"LOC_Os03g59690.1"	"DUF617 domain containing protein, expressed"
"Sb01g003820"	"SORBI_3001G041400"	"Sobic.001G041400"	"AT2G47350.1"	""	"HIT zinc finger ;PAPA-1-like conserved region"	"LOC_Os03g59680.1"	"PAPA-1-like conserved region family protein, expressed"
"Sb01g003830"	"SORBI_3001G041500"	"Sobic.001G041500"	"AT2G41130.1"	""	"basic helix-loop-helix (bHLH) DNA-binding superfamily protein"	"LOC_Os03g59670.1"	"basic helix-loop-helix, putative, expressed"
"Sb01g003840"	"SORBI_3001G041600"	"Sobic.001G041600"	"AT2G17380.1"	"AP19"	"associated protein 19"	"LOC_Os03g59660.1"	"clathrin adaptor complex small chain domain containing protein, expressed"
"Sb01g003860"	"SORBI_3001G041800"	"Sobic.001G041800"	"AT1G08520.1"	"ALB-1V,ALB1,CHLD,PDE166,V157"	"ALBINA 1"	"LOC_Os03g59640.1"	"magnesium-chelatase subunit chlD, chloroplast precursor, putative, expressed"
"Sb01g003880"	"SORBI_3001G042000"	"Sobic.001G042000"	"AT1G52340.1"	"ABA2,ATABA2,ATSDR1,GIN1,ISI4,SDR1,SIS4,SRE1"	"NAD(P)-binding Rossmann-fold superfamily protein"	"LOC_Os03g59610.1"	"oxidoreductase, short chain dehydrogenase/reductase family protein, putative, expressed"
"Sb01g003910"	"SORBI_3001G042500"	"Sobic.001G042500"	"AT1G64980.1"	""	"Nucleotide-diphospho-sugar transferases superfamily protein"	"LOC_Os10g37230.1"	"expressed protein"
"Sb01g003940"	"SORBI_3001G042800"	"Sobic.001G042800"	"AT3G12600.2"	"atnudt16,NUDT16"	"nudix hydrolase homolog 16"	"LOC_Os03g59580.1"	"hydrolase, NUDIX family, domain containing protein, expressed"
"Sb01g003940"	"SORBI_3001G042800"	"Sobic.001G042800"	"AT3G12600.1"	"atnudt16,NUDT16"	"nudix hydrolase homolog 16"	"LOC_Os03g59580.1"	"hydrolase, NUDIX family, domain containing protein, expressed"
"Sb01g003950"	"SORBI_3001G042901"	"Sobic.001G042901"	"AT5G19040.1"	"ATIPT5,IPT5"	"isopentenyltransferase 5"	"LOC_Os03g59570.1"	"IPP transferase, putative, expressed"
"Sb01g003960"	"SORBI_3001G043000"	"Sobic.001G043000"	"AT3G61220.1"	""	"NAD(P)-binding Rossmann-fold superfamily protein"	"LOC_Os04g44980.1"	"short-chain dehydrogenase/reductase, putative, expressed"
"Sb01g003980"	"SORBI_3001G043200"	"Sobic.001G043200"	"AT4G17430.1"	""	"O-fucosyltransferase family protein"	"LOC_Os10g41180.1"	"expressed protein"
"Sb01g004080"	"SORBI_3001G044300"	"Sobic.001G044300"	"AT2G35530.1"	"AtbZIP16,bZIP16"	"basic region/leucine zipper transcription factor 16"	"LOC_Os07g10890.1"	"transcription factor, putative, expressed"
"Sb01g004080"	"SORBI_3001G044300"	"Sobic.001G044300"	"AT1G32150.1"	"AtbZIP68,bZIP68"	"basic region/leucine zipper transcription factor 68"	"LOC_Os07g10890.1"	"transcription factor, putative, expressed"
"Sb01g004080"	"SORBI_3001G044300"	"Sobic.001G044300"	""	""	""	"LOC_Os07g10890.1"	"transcription factor, putative, expressed"
"Sb01g004110"	"SORBI_3001G044600"	"Sobic.001G044600"	"AT5G62990.1"	"emb1692"	"Ubiquitin carboxyl-terminal hydrolase family protein"	"LOC_Os04g24710.1"	"ubiquitin carboxyl-terminal hydrolase, family 1, putative, expressed"
"Sb01g004120"	"SORBI_3001G044700"	"Sobic.001G044700"	"AT2G21110.1"	""	"Disease resistance-responsive (dirigent-like protein) family protein"	"LOC_Os03g59440.1"	"dirigent, putative, expressed"
"Sb01g004130"	"SORBI_3001G044800"	"Sobic.001G044800"	"AT3G57520.1"	"AtSIP2,SIP2"	"seed imbibition 2"	"LOC_Os07g10840.1"	"uncharacterized glycosyltransferase, putative, expressed"
"Sb01g004150"	"SORBI_3001G045000"	"Sobic.001G045000"	"AT5G19450.1"	"CDPK19,CPK8"	"calcium-dependent protein kinase 19"	"LOC_Os03g59390.1"	"CAMK_CAMK_like.24 - CAMK includes calcium/calmodulin depedent protein kinases, expressed"
"Sb01g004160"	"SORBI_3001G045100"	"Sobic.001G045100"	"AT5G64120.1"	""	"Peroxidase superfamily protein"	"LOC_Os01g16450.1"	"peroxidase precursor, putative, expressed"
"Sb01g004180"	"SORBI_3001G045300"	"Sobic.001G045300"	"AT2G24960.1"	""	""	"LOC_Os03g59370.1"	"ubiquitin family protein, putative, expressed"
"Sb01g004190"	"SORBI_3001G045400"	"Sobic.001G045400"	"AT3G57510.1"	"ADPG1"	"Pectin lyase-like superfamily protein"	"LOC_Os07g10740.1"	"polygalacturonase, putative, expressed"
"Sb01g004200"	"SORBI_3001G045600"	"Sobic.001G045600"	"AT2G41870.1"	""	"Remorin family protein"	"LOC_Os03g59360.1"	"remorin, putative, expressed"
"Sb01g004210"	"SORBI_3001G045700"	"Sobic.001G045700"	"AT5G05170.1"	"ATCESA3,ATH-B,CESA3,CEV1,IXR1"	"Cellulose synthase family protein"	"LOC_Os03g59340.1"	"CESA2 - cellulose synthase, expressed"
"Sb01g004220"	"SORBI_3001G045800"	"Sobic.001G045800"	"AT2G41850.1"	"ADPG2,PGAZAT"	"polygalacturonase abscission zone A. thaliana"	"LOC_Os07g10740.1"	"polygalacturonase, putative, expressed"
"Sb01g004240"	"SORBI_3001G046000"	"Sobic.001G046000"	"AT5G19855.1"	""	"Chaperonin-like RbcX protein"	"LOC_Os03g59320.1"	"expressed protein"
"Sb01g004270"	"SORBI_3001G046400"	"Sobic.001G046400"	"AT3G08030.1"	""	"Protein of unknown function, DUF642"	"LOC_Os03g59300.1"	"expressed protein"
"Sb01g004330"	"SORBI_3001G046900"	"Sobic.001G046900"	"AT1G03130.1"	"PSAD-2"	"photosystem I subunit D-2"	"LOC_Os08g44680.1"	"photosystem I reaction center subunit II, chloroplast precursor, putative, expressed"
"Sb01g004340"	"SORBI_3001G047000"	"Sobic.001G047000"	"AT1G55340.1"	""	"Protein of unknown function (DUF1639)"	"LOC_Os03g59250.1"	"expressed protein"
"Sb01g004360"	"SORBI_3001G047200"	"Sobic.001G047200"	"AT1G55360.1"	""	"Protein of Unknown Function (DUF239)"	"LOC_Os03g59240.1"	"carboxyl-terminal peptidase, putative, expressed"
"Sb01g004375"	"SORBI_3001G047600"	"Sobic.001G047600"	"AT3G52200.1"	"LTA3"	"Dihydrolipoamide acetyltransferase, long form protein"	"LOC_Os06g30460.2"	"2-oxo acid dehydrogenases acyltransferase domain containing protein, expressed"
"Sb01g004380"	"SORBI_3001G047700"	"Sobic.001G047700"	""	""	""	"LOC_Os03g59225.1"	"expressed protein"
"Sb01g004390"	"SORBI_3001G047800"	"Sobic.001G047800"	"AT5G25450.2"	""	"Cytochrome bd ubiquinol oxidase, 14kDa subunit"	"LOC_Os07g10500.1"	"cytochrome b-c1 complex subunit 7, putative, expressed"
"Sb01g004390"	"SORBI_3001G047800"	"Sobic.001G047800"	"AT4G32470.1"	""	"Cytochrome bd ubiquinol oxidase, 14kDa subunit"	"LOC_Os03g59220.1"	"cytochrome b-c1 complex subunit 7, putative, expressed"
"Sb01g004400"	"SORBI_3001G047900"	"Sobic.001G047900"	"AT5G28150.1"	""	"Plant protein of unknown function (DUF868)"	"LOC_Os03g59200.1"	"expressed protein"
"Sb01g004410"	"SORBI_3001G048000"	"Sobic.001G048000"	"AT5G18130.1"	""	""	"LOC_Os03g59180.1"	"expressed protein"
"Sb01g004410"	"SORBI_3001G048000"	"Sobic.001G048000"	"AT5G18130.1"	""	""	"LOC_Os03g59180.2"	"expressed protein"
"Sb01g004440"	"SORBI_3001G048400"	"Sobic.001G048400"	"AT4G25650.1"	"ACD1-LIKE,PTC52,TIC55-IV"	"ACD1-like"	"LOC_Os03g59110.1"	"pheophorbide a oxygenase, chloroplast precursor, putative, expressed"
"Sb01g004470"	"SORBI_3001G048766"	"Sobic.001G048766"	"AT5G20090.2"	""	"Uncharacterised protein family (UPF0041)"	"LOC_Os09g20660.1"	"UPF0041 domain containing protein, putative, expressed"
"Sb01g004490"	"SORBI_3001G048900"	"Sobic.001G048900"	"AT4G38810.2"	""	"Calcium-binding EF-hand family protein"	"LOC_Os10g09850.1"	"EF hand family protein, putative, expressed"
"Sb01g004490"	"SORBI_3001G048900"	"Sobic.001G048900"	"AT4G38810.1"	""	"Calcium-binding EF-hand family protein"	"LOC_Os10g09850.1"	"EF hand family protein, putative, expressed"
"Sb01g004520"	"SORBI_3001G049300"	"Sobic.001G049300"	"AT3G58490.1"	""	"Phosphatidic acid phosphatase (PAP2) family protein"	"LOC_Os03g59070.1"	"phosphatase, putative, expressed"
"Sb01g004520"	"SORBI_3001G049300"	"Sobic.001G049300"	"AT3G58490.2"	""	"Phosphatidic acid phosphatase (PAP2) family protein"	"LOC_Os03g59070.1"	"phosphatase, putative, expressed"
"Sb01g004610"	"SORBI_3001G050300"	"Sobic.001G050300"	"AT2G44290.1"	""	"Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein"	"LOC_Os03g58940.1"	"LTPL83 - Protease inhibitor/seed storage/LTP family protein precursor, putative, expressed"
"Sb01g004630"	"SORBI_3001G050500"	"Sobic.001G050500"	"AT5G62620.1"	""	"Galactosyltransferase family protein"	"LOC_Os03g58920.2"	"galactosyltransferase family protein, putative, expressed"
"Sb01g004660"	"SORBI_3001G050800"	"Sobic.001G050800"	"AT5G62620.1"	""	"Galactosyltransferase family protein"	"LOC_Os03g58900.1"	"galactosyltransferase family protein, putative, expressed"
"Sb01g004670"	"SORBI_3001G050900"	"Sobic.001G050900"	"AT3G28480.1"	""	"Oxoglutarate/iron-dependent oxygenase"	"LOC_Os03g58890.2"	"oxidoreductase, putative, expressed"
"Sb01g004690"	"SORBI_3001G051100"	"Sobic.001G051100"	""	""	""	"LOC_Os03g58850.1"	"uncharacterized PE-PGRS family protein PE_PGRS3 precursor, putative, expressed"
"Sb01g004710"	"SORBI_3001G051300"	"Sobic.001G051300"	"AT1G59640.1"	"BPE,BPEp,BPEub,ZCW32"	"BIG PETAL P"	"LOC_Os03g58830.1"	"BEE 1, putative, expressed"
"Sb01g004740"	"SORBI_3001G051600"	"Sobic.001G051600"	"AT5G40010.1"	"AATP1"	"AAA-ATPase 1"	"LOC_Os03g58790.1"	"ATPase, putative, expressed"
"Sb01g004760"	"SORBI_3001G051800"	"Sobic.001G051800"	""	""	""	"LOC_Os03g58764.1"	"OsFBDUF18 - F-box and DUF domain containing protein, expressed"
"Sb01g004766"	"SORBI_3001G052000"	"Sobic.001G052000"	""	""	""	"LOC_Os12g26470.1"	"aspartic proteinase nepenthesin-1 precursor, putative, expressed"
"Sb01g004770"	"SORBI_3001G052100"	"Sobic.001G052100"	"AT4G37380.1"	""	"Tetratricopeptide repeat (TPR)-like superfamily protein"	"LOC_Os04g01990.1"	"pentatricopeptide domain containing protein, putative, expressed"
"Sb01g004790"	"SORBI_3001G052300"	"Sobic.001G052300"	"AT1G59710.1"	""	"Protein of unknown function (DUF569)"	"LOC_Os03g58740.1"	"expressed protein"
"Sb01g004860"	"SORBI_3001G052900"	"Sobic.001G052900"	"AT5G39950.1"	"ATH2,ATTRX2,ATTRXH2,TRX2,TRXH2"	"thioredoxin 2"	"LOC_Os03g58630.1"	"thioredoxin, putative, expressed"
"Sb01g004880"	"SORBI_3001G053200"	"Sobic.001G053200"	""	""	""	"LOC_Os03g23900.1"	"expressed protein"
"Sb01g004910"	"SORBI_3001G053500"	"Sobic.001G053500"	""	""	""	"LOC_Os03g54190.1"	"expressed protein"
"Sb01g004940"	"SORBI_3001G053900"	"Sobic.001G053900"	"AT2G39210.1"	""	"Major facilitator superfamily protein"	"LOC_Os03g58580.1"	"nodulin, putative, expressed"
"Sb01g004950"	"SORBI_3001G054000"	"Sobic.001G054000"	"AT3G52190.1"	"PHF1"	"phosphate transporter traffic facilitator1"	"LOC_Os07g09000.1"	"WD domain, G-beta repeat domain containing protein, expressed"
"Sb01g004960"	"SORBI_3001G054100"	"Sobic.001G054100"	"AT5G18570.1"	"ATOBGC,CPSAR1,EMB269"	"GTP1/OBG family protein"	"LOC_Os03g58540.1"	"spo0B-associated GTP-binding protein, putative, expressed"
"Sb01g004990"	"SORBI_3001G054600"	"Sobic.001G054600"	"AT1G08800.2"	""	"Protein of unknown function, DUF593"	"LOC_Os03g58490.1"	"DUF593 domain containing protein, expressed"
"Sb01g005000"	"SORBI_3001G054700"	"Sobic.001G054700"	"AT3G23090.1"	""	"TPX2 (targeting protein for Xklp2) protein family"	"LOC_Os03g58480.1"	"seed specific protein Bn15D14A, putative, expressed"
"Sb01g005080"	"SORBI_3001G055600"	"Sobic.001G055600"	"AT1G08770.1"	"PRA1.E"	"prenylated RAB acceptor 1.E"	"LOC_Os03g58410.1"	"prenylated rab acceptor, putative, expressed"
"Sb01g005110"	"SORBI_3001G056100"	"Sobic.001G056100"	"AT1G04240.1"	"IAA3,SHY2"	"AUX/IAA transcriptional regulator family protein"	"LOC_Os07g08460.1"	"OsIAA24 - Auxin-responsive Aux/IAA gene family member, expressed"
